dataset	model	n_records	n_pos_incorrect	n_neg_correct	auroc	best_t	best_precision	best_recall	best_f1	best_coverage	t4_precision	t4_recall	t4_f1	t4_coverage
bamboogle	qwen-qwen3-8b	123	108	15	0.706790	7	0.955882	0.601852	0.738636	0.447154	0.966667	0.268519	0.420290	0.756098
bamboogle	meta-llama-llama-3-3-70b-instruct	123	67	56	0.687233	7	0.795455	0.522388	0.630631	0.642276	0.777778	0.104478	0.184211	0.926829
bamboogle	google-gemini-2-5-pro	123	18	105	0.809259	6	0.578947	0.611111	0.594595	0.845528	0.666667	0.111111	0.190476	0.975610
