dataset,total,DD_count,DD_both_wrong,DD_open_wrong_assistive_correct,DD_open_correct_assistive_wrong,DD_both_correct,DD_missing_label,DD_rate,labeled_dd,label_coverage,share_DD_both_wrong,share_DD_open_wrong_assistive_correct,share_DD_open_correct_assistive_wrong,share_DD_both_correct,share_DD_missing_label
frames,1464,655,0,0,0,0,655,0.4474043715846995,0,0.0,0.0,0.0,0.0,0.0,1.0
musique,1419,605,0,0,0,0,605,0.4263565891472868,0,0.0,0.0,0.0,0.0,0.0,1.0
fanout,1550,600,0,0,0,0,600,0.3870967741935484,0,0.0,0.0,0.0,0.0,0.0,1.0
hotpotqa,1244,349,246,52,47,0,4,0.2805466237942122,345,0.9885386819484241,0.7130434782608696,0.15072463768115943,0.13623188405797101,0.0,0.011461318051575931
mintaka,1968,222,121,64,29,0,8,0.11280487804878049,214,0.963963963963964,0.5654205607476636,0.29906542056074764,0.13551401869158877,0.0,0.036036036036036036
bamboogle,855,90,58,18,10,0,4,0.10526315789473684,86,0.9555555555555556,0.6744186046511628,0.20930232558139536,0.11627906976744186,0.0,0.044444444444444446
crag,133,21,14,4,2,0,1,0.15789473684210525,20,0.9523809523809523,0.7,0.2,0.1,0.0,0.047619047619047616
